ID,Year,Rank,Title,Artist,Source
199004,1990,4,Poison,Bell Biv DeVoe,https://genius.com/Bell-biv-devoe-poison-lyrics
199005,1990,5,Vogue,Madonna,https://genius.com/Madonna-vogue-lyrics
199006,1990,6,Vision of Love,Mariah Carey,https://genius.com/Mariah-carey-vision-of-love-lyrics
199007,1990,7,Another Day in Paradise,Phil Collins,https://genius.com/Phil-collins-another-day-in-paradise-lyrics
199008,1990,8,Hold On,En Vogue,https://genius.com/En-vogue-hold-on-lyrics
199009,1990,9,Cradle of Love,Billy Idol,https://genius.com/Billy-idol-cradle-of-love-lyrics
199010,1990,10,Blaze of Glory,Jon Bon Jovi,https://genius.com/Jon-bon-jovi-blaze-of-glory-lyrics
198901,1989,1,Look Away,Chicago,https://genius.com/Chicago-look-away-lyrics
198902,1989,2,My Prerogative,Bobby Brown,https://genius.com/Bobby-brown-my-prerogative-lyrics
198903,1989,3,Every Rose Has Its Thorn,Poison,https://genius.com/Poison-every-rose-has-its-thorn-lyrics
198904,1989,4,Straight Up,Paula Abdul,https://genius.com/Paula-abdul-straight-up-lyrics
198905,1989,5,Miss You Much,Janet Jackson,https://genius.com/Janet-jackson-miss-you-much-lyrics
198906,1989,6,Cold Hearted,Paula Abdul,https://genius.com/Paula-abdul-cold-hearted-lyrics
198907,1989,7,Wind Beneath My Wings,Bette Midler,https://genius.com/Bette-midler-wind-beneath-my-wings-lyrics
198908,1989,8,Girl You Know It's True,Milli Vanilli,https://genius.com/Milli-vanilli-girl-you-know-its-true-lyrics
198909,1989,9,"Baby, I Love Your Way/Freebird Medley",Will to Power,https://genius.com/Will-to-power-baby-i-love-your-way-freebird-medley-lyrics
198910,1989,10,Giving You the Best That I Got,Anita Baker,https://genius.com/Anita-baker-giving-you-the-best-that-i-got-lyrics
198801,1988,1,Faith,George Michael,https://genius.com/George-michael-faith-lyrics
198802,1988,2,Need You Tonight,INXS,https://genius.com/Inxs-need-you-tonight-lyrics
198803,1988,3,Got My Mind Set on You,George Harrison,https://genius.com/George-harrison-got-my-mind-set-on-you-lyrics
198804,1988,4,Never Gonna Give You Up,Rick Astley,https://genius.com/Rick-astley-never-gonna-give-you-up-lyrics
198805,1988,5,Sweet Child o' Mine,Guns N' Roses,https://genius.com/Guns-n-roses-sweet-child-o-mine-lyrics
198806,1988,6,So Emotional,Whitney Houston,https://genius.com/Whitney-houston-so-emotional-lyrics
198807,1988,7,Heaven Is a Place on Earth,Belinda Carlisle,https://genius.com/Belinda-carlisle-heaven-is-a-place-on-earth-lyrics
198808,1988,8,Could've Been,Tiffany,https://genius.com/Tiffany-couldve-been-lyrics
198809,1988,9,Hands to Heaven,Breathe,https://genius.com/Breathe-uk-hands-to-heaven-lyrics
198810,1988,10,Roll with It,Steve Winwood,https://genius.com/Steve-winwood-roll-with-it-lyrics
198701,1987,1,Walk Like An Egyptian,The Bangles,https://genius.com/The-bangles-walk-like-an-egyptian-lyrics
198702,1987,2,Alone,Heart,https://genius.com/Heart-alone-lyrics
198703,1987,3,Shake You Down,Gregory Abbott,https://genius.com/Gregory-abbott-shake-you-down-lyrics
198704,1987,4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://genius.com/Whitney-houston-i-wanna-dance-with-somebody-who-loves-me-lyrics
198705,1987,5,Nothing's Gonna Stop Us Now,Starship,https://genius.com/Starship-nothings-gonna-stop-us-now-lyrics
198706,1987,6,C'est La Vie,Robbie Nevil,https://genius.com/Robbie-nevil-cest-la-vie-lyrics
198707,1987,7,Here I Go Again,Whitesnake,https://genius.com/Whitesnake-here-i-go-again-lyrics
198708,1987,8,The Way It Is,Bruce Hornsby and the Range,https://genius.com/Bruce-hornsby-and-the-range-the-way-it-is-lyrics
198709,1987,9,Shakedown,Bob Seger,https://genius.com/Bob-seger-shakedown-lyrics
198710,1987,10,Livin' on a Prayer,Bon Jovi,https://genius.com/Bon-jovi-livin-on-a-prayer-lyrics
